pagina,categoria,nombre_curso,seccion,nombre_taller,profesores,codigo,horario,instagram,descripcion,imagenes
32,Cursos de Profundización,,,Diseño de información,Juan Pablo Bravo,DIS9052,Sección 1: JU 11:30 - 14:20,,"Horario Sección 1: JU 11:30 - 14:20 Sección 2: JU 8:30 - 11:20 Curso teórico-práctico orientado al estudio, desarrollo y producción de diseño de información. A partir de dinámicas expositivas, análisis de casos, discusiones temáticas y el desarrollo de trabajos prácticos, los estudiantes deberán ser capaces de sintetizar, conceptualizar, representar y comunicar visualmente información de diversa índole a través del lenguaje infográfico en sus diferentes soportes y formatos. El curso profundiza en el uso de recursos y herramientas que nos ayudan a desarrollar una publicación específica (jerarquía, composición, diagramación, el uso de ilustraciones, paletas cromáticas, tipografías) junto con elementos infográficos como mapas, gráficos estadísticos, esquemas y diagramas. El sobre consumo de información y los avances tecnológicos requieren nuevas formas de comunicar información. El lenguaje infográfico tiene como objetivo llegar al lector de una forma clara, directa y precisa, que a través de estrategias específicas de trabajo con la información es además didáctica, dinámica y atractiva. Los estudiantes trabajarán la construcción y diseño de piezas de información visual desde la investigación, el análisis de la información, la esquematización y finalmente la presentación gráfica (visualización). El objetivo es que dominen las herramientas conceptuales, tecnológicas y prácticas de la disciplina, con un pensamiento analítico y crítico, junto con proponer soluciones creativas a problemas específicos de diseño y comunicación.",p32_00.jpg
33,Cursos de Profundización,,,Exploración y fabricación en la industria nacional,Carolina Kusanovich,DIS9075,JU 11:30 - 14:20,@exploracionindustrianacional,"El curso tiene como objetivo ofrecer experiencias y conocimientos prácticos sobre la industria nacional chilena, con un enfoque central en visitas a fábricas de distintos sectores, como textiles, mecánicas, alimentarias, imprentas etc., teniendo énfasis en distintos rubros. Estas actividades en terreno permiten a los y las estudiantes comprender directamente los procesos productivos, hablar con los equipos, y observar cómo funcionan las empresas, sus tiempos, operaciones, envergadura, problemáticas, proyecciones y ver su variación, dependiendo de su rubro, tamaño de empresa etc. Fortaleciendo su vinculación con el medio y promoviendo un entendimiento de las marcas y empresas nacionales. Visitaremos cinco o seis fábricas durante el semestre, realizando dos casos de estudio, en base a las visitas. Trabajando un diseño, propuesta directa. Complementado con clases expositivas, análisis bibliográficos, propuesta en base a lo observado e investigado y reflexiones críticas, el curso integra la teoría en forma práctica para desarrollar una visión contextualizada y aplicada de la industria.",p33_00.jpg
34,Cursos de Profundización,,,Patrones: Transformación y experimentación I,Nicole Farfán,DIS9078,JU 11:30 - 14:20,@nicodis_eno,"Este curso está orientado a estudiantes que requieren reforzar y consolidar los fundamentos del patronaje, abordando la transformación de patrones base mediante ejercicios guiados y metodologías progresivas. El objetivo del curso es que las y los estudiantes comprendan la lógica constructiva del patrón, su relación con el cuerpo y el comportamiento del textil, desarrollando seguridad en el proceso de diseño a partir de estructuras ya definidas. A través de transformaciones controladas, realizadas sobre patrones entregados por la asignatura, se promueve una aproximación práctica y comprensible al patronaje como herramienta técnica y creativa. Al finalizar el curso, se espera que las y los estudiantes hayan fortalecido su comprensión del patrón base, adquirido mayor claridad en los procesos de transformación y desarrollado habilidades para aplicar modificaciones de forma ordenada y consciente. El desarrollo del taller se estructura a partir del trabajo directo sobre patrones base de prendas fundamentales del vestuario —camisa, falda y pantalón— entregados por la asignatura. A partir de estos, las y los estudiantes realizarán transformaciones guiadas, explorando variaciones formales y estructurales mediante ejercicios prácticos a escala 1:2, lo que permitirá comprender proporciones, volúmenes y relaciones constructivas de manera gradual. En este proceso, se incorporará el escalado de tallas como herramienta clave para entender la adaptación del patrón a distintas morfologías. Los ejercicios se desarrollarán principalmente en plano, complementados con análisis visual y pruebas de montaje a pequeña escala, con el objetivo de consolidar la lectura del patrón, la toma de decisiones técnicas y la correcta aplicación de transformaciones básicas en el diseño de indumentaria.",p34_00.jpg
35,Cursos de Profundización,,,Interacciones inalámbricas,Aarón Montoya,DIS9079,LU 14:30 - 17:20,@lid.udp,"Este nuevo curso de profundización introduce de forma teórica y práctica tecnologías inalámbricas como Wi-Fi, Bluetooth, RFID, entre otros. Estos protocolos pueden ser utilizados para crear experiencias interactivas, objetos conectados y sistemas sensibles al contexto. Comprenderemos las lógicas, posibilidades y limitaciones de la programación orientada a interacciones inalámbricas, y cómo incluirlas a nuestros procesos de diseño. Durante el curso desarrollaremos proyectos que combinan programación, electrónica básica y pensamiento de diseño, reflexionando críticamente sobre temas como la invisibilidad de las infraestructuras, la comunicación entre objetos, la privacidad y el comportamiento de los sistemas conectados. El curso fomenta la experimentación, el prototipado y el trabajo colaborativo, posicionando las interacciones inalámbricas no solo como herramientas técnicas, sino como un medio expresivo y conceptual para el diseño de interacción y de interfaces humano-computador.",p35_00.jpg
36,Cursos de Profundización,,,Cerámica experimental Profesor Rodrigo Córdova,Código: DIS9080,DIS9080,MI 11:30 - 14:20,@galeria.biophiliaceramicas,"La cerámica es un material usado en diferentes objetos de uso cotidiano, ornamentales y escultóricos, convirtiéndose en un material versátil que abarca diferentes áreas creativas. En este curso se abordarán técnicas básicas de construcción, experimentando en tratamientos superficiales, texturizados y técnicas de acabado. Aprenderán a trabajar el color mediante pigmentos, engobes y esmaltes realizando trabajos prácticos en el taller, además de una revisión teórica de referencias tradicionales y contemporáneas que se complementarán con visitas a terreno a la primera galería de arte y diseño del país dedicada exclusivamente a la cerámica contemporánea. Orientado a la producción de piezas a baja escala, este curso entregará conocimientos técnicos básicos para el desarrollo de un proyecto de diseño cerámico.",p36_00.jpg
37,Cursos de Profundización,,,Diseño Textil de Punto Contemporáneo,Felipe Sepúlveda,DIS9081,MI 11:30 - 14:20,@misterwool,"Curso de especialización que aborda el diseño de punto como un campo de experimentación conceptual y material para el desarrollo de objetos indumentarios y superficies textiles tejidas en el contexto contemporáneo. El curso propone comprender el tejido de punto como un lenguaje activo, operativo a distintas escalas, capaz de establecer relaciones entre objeto, espacio y cuerpo. Se trabajará el desarrollo de estructuras y acabados mediante un muestrario completo y extenso de puntos y técnicas de complejidad progresiva, utilizando dos agujas, crochet y máquina rectilínea de tejido de punto. Este proceso permitirá explorar las posibilidades desde configuraciones simples hasta propuestas de mayor complejidad formal, entendiendo el tejido como un sistema flexible y adaptable a diversos intereses de diseño. El énfasis se sitúa en el diseño de punto como un campo que articula tradición y experimentación contemporánea, fortaleciendo la comprensión del patronaje y la construcción de piezas físicas, con el fin de ampliar el uso del textil de punto como lenguaje estructural. Dirigido a estudiantes interesadas(os) en comprender distintos usos de las hilaturas, adquirir técnicas convencionales y reinterpretarlas para construcciones y proyectos, el curso busca fortalecer el tejido de punto como una práctica relevante dentro del diseño y la formación disciplinar. * No se requieren conocimientos previos de tejido.",p37_00.jpg
39,Prácticas Electivas,,,Mapeo Tipográfico Laboratorio OTF (Oficina Tipográfica FaAAD),Guisela Mendoza,FAD9100,por deﬁnir; a convenir según la disponibilidad del o la,@mail.udp.cl,"La Práctica Electiva de Continuidad Laboratorio OTF se enmarca en el proyecto de investigación y archivo denominado “Mapeo Tipográfico” y sitúa a las y los estudiantes en el cruce de la investigación académica, la gestión de archivo digital y la producción tipográfica. La PE, además, integra la coordinación y ejecución de la parrilla anual de actividades del lab. (workshop de letterpress, inducciones, charlas de invitados, etc.) A través de un enfoque metodológico, el curso desarrolla habilidades en la clasificación, validación y organización de información tipográfica, generando insumos para la cartografía y el análisis del ecosistema de diseño nacional. El programa se estructura en una triple dimensión: investigativa (Mapeo Tipográfico), impresión análoga (exploración material a través de la impresión en tipos móviles) y producción digital (diseño gráfico para divulgación), lo que amplía el alcance formativo del Laboratorio OTF hacia la generación de expertise disciplinar con potencial directo para el desarrollo de proyectos de título. Modalidad: Presencial con reuniones semanales, horario a convenir según la disponibilidad del o la postulante. Requisitos: Estudiantes de diseño desde 3er año Interés por la disciplina tipográfica, el letterpress y la investigación Envío de CV y portafolio al correo del lab.OTF Asunto: Práctica Electiva 2026_1 Entrevista personal vía Zoom o presencial (a coordinar por correo)",p39_00.jpg; p39_01.jpg
40,Prácticas Electivas,,,Centro Editorial FaAAD UDP,Antonieta López Aravena,FAD9100,por deﬁnir,@udp.cl,"La práctica electiva colaborará de manera activa y protagónica en el proceso de diseño de la Revista 180 de la Facultad de Arquitectura, Arte y Diseño, y la Revista Trama de la Escuela de Diseño. Los estudiantes desempeñarán el rol de Asistentes de Diagramación en la Revista 180, y de Asistentes de Diagramación y Producción en la Revista Trama. En ambas publicaciones, abordaremos el diseño editorial, poniendo en práctica las bases teórico-prácticas de la micro y macrotipografía, así como el diseño de revistas. Además, las y los estudiantes se sumergirán en conocimientos avanzados del software InDesign, enfocándose en diagramación, estilos tipográficos, composición y originales de imprenta. Además, en la Revista Trama, los estudiantes conocerán todo el proceso de producción, aprendiendo a imprimir, encuadernar y guillotinar. Estudiaremos los materiales y sus posibilidades, métodos de impresión y técnicas de encuadernación, para dar forma a una publicación experimental. Requisitos: ● Mención gráfica ● Manejo de InDesign ● Aprobación en los cursos de Micro y Macrotipografía y Diseño Editorial ● Interés en Diseño editorial",p40_00.jpg; p40_01.jpg
41,Prácticas Electivas,,,Laboratorio 360,Angello García Bassi,FAD9100,por deﬁnir,@udp.cl,"La Práctica Electiva del Lab360 es una instancia formativa orientada a estudiantes de Diseño Gráfico e Industrial que buscan una experiencia práctica, colaborativa y situada, vinculada a la producción real, la experimentación material y la gestión de proyectos de diseño. Desarrollada en el Laboratorio 360 de la Escuela de Diseño UDP, esta práctica integra procesos creativos, técnicos y estratégicos en un entorno activo de trabajo, articulado con cursos, proyectos institucionales y colaboraciones externas. Durante la práctica, las y los estudiantes participan en la creación de material gráfico, editorial y promocional, así como en la gestión y producción de impresiones mediante sistemas alternativos —con especial énfasis en la risografía—, documentación de procesos, difusión de actividades y apoyo a iniciativas de admisión, extensión y vinculación con el medio. La modalidad es presencial, incorporando trabajo en equipo, reuniones, producción en taller y salidas a terreno, promoviendo el aprendizaje desde la experiencia directa. Requisitos: ● Cursar desde 3er Año Diseño ● Manejo de Ai, Ps, Id ● Interés en Diseño editorial, Ilustración, Motion Graphic, Animación",p41_00.jpg
42,Prácticas Electivas,,,Laboratorio de Experimentación Material - Diseño de propuesta gráfica y espacial,Sebastián Rodríguez,FAD9100,por deﬁnir,@mail.udp.cl,"La práctica electiva tiene como objetivo integrar a estudiantes de Diseño en el desarrollo de una propuesta espacial y gráfica para un espacio de experimentación material y biomaterial. Este es un espacio dedicado a la investigación, experimentación y producción de biomateriales, (experimentación material) abordados desde las diferentes perspectivas que integran el Diseño. El propósito principal es optimizar la funcionalidad del espacio, la experiencia de los usuarios y la comunicación visual, asegurando que estos aspectos se encuentren alineados con los valores de sostenibilidad, innovación abierta y colaboración transdisciplinaria. A través del enfoque proyectual del diseño, los estudiantes podrán proponer mejoras tanto espaciales como comunicacionales, al mismo tiempo que participan activamente en un entorno que fomenta la experimentación material y el aprendizaje práctico. La iniciativa busca fortalecer la relación entre la práctica académica y la investigación aplicada, promoviendo la innovación material y la sostenibilidad en los procesos creativos, incorporando nuevas prácticas y procesos productivos. Modalidad: Presencial con reuniones semanales Requisitos: Manejo de herramientas digitales (adobe, rhinoceros,fusion) Contar con experiencia en Fabricación Digital Interes en el área de biomateriales, interés en el diseño grafico y/o industrial.",p42_00.jpg; p42_01.jpg; p42_02.jpg
43,Prácticas Electivas,,,Coordinación Posicionamiento estratégico escuela de Diseño,Simón Gallardo,FAD9100,ﬂexible,@udp.cl,"PASC: Sistema de Comunicación Sistematizado y Automatización de Procesos Descripción de la Labor: El proyecto consiste en el diseño e implementación de una estrategia de comunicación multicanal orientada al posicionamiento de la Escuela en el entorno local e internacional. Perfil del Estudiante y Competencias Esperadas: Buscamos estudiantes con un marcado interés por la comunicación estratégica y el posicionamiento institucional. Los interesados deben poseer habilidades o facilidad de aprendizaje en las siguientes áreas técnicas: ● Producción Audiovisual y Fotografía: Para la creación de contenido de alto impacto visual. ● Animación Digital: Para dinamizar la entrega de información en plataformas digitales. ● Automatización de Procesos: Para el diseño de flujos de trabajo eficientes dentro de la plataforma tecnológica. Dimensión Formativa y Experiencia Real: Los estudiantes se integrarán en tareas sustantivas de nivel profesional, incluyendo reuniones estratégicas, planificación táctica y toma de decisiones. Condiciones Administrativas: ● Dedicación: 6 a 8 horas semanales. ● Metodología: Acompañamiento sistemático mediante tutorías y reuniones semanales. ● Evaluación: Formativa y sumativa, basada en un portafolio de evidencias y rúbrica de desempeño profesional.",p43_00.jpg; p43_01.jpg; p43_02.jpg; p43_03.jpg; p43_04.jpg; p43_05.jpg
44,Prácticas Electivas,,,"LID-UDP Laboratorio Interdisciplinario de Interacción Digital: Investigación aplicada en experiencias inmersivas, sistemas interactivos y visualización de datos.",Joaquín González + Aarón + Montoya-Moraga,PRI0001 sección 3,por deﬁnir,@mail.udp.cl,"La práctica electiva del Laboratorio de Interacción Digital (LID) tiene como propósito incorporar a estudiantes de Diseño en proyectos aplicados de investigación, desarrollo y producción ligados a tecnologías interactivas. Durante su participación, los estudiantes contribuirán activamente en el diseño, prototipado, fabricación y documentación de productos electrónicos y sistemas interactivos. La creación y mantenimiento de contenidos didácticos para la plataforma web del laboratorio, incluyendo manuales, protocolos técnicos y documentación multimedia para el correcto uso de máquinas, herramientas e insumos del laboratorio y formarán parte de la organización de encuentros tecnológicos como Arduino Day y Processing Community Day. Además, tendrán la oportunidad de aprender herramientas de desarrollo web, scripting y fundamentos de interacción digital aplicados a experiencias físicas y digitales. Esta experiencia busca conectar el quehacer académico con la investigación aplicada y el desarrollo experimental, promoviendo la innovación tecnológica, el diseño centrado en la interacción y la creación colaborativa. Modalidad: Presencial con reuniones semanales. Requisitos: 6° semestre en adelante. Conocimientos básicos en herramientas digitales (Arduino, P5). Interés en tecnologías interactivas, diseño electrónico, desarrollo web y experimentación física-digital.",p44_00.jpg; p44_01.jpg; p44_02.jpg; p44_03.jpg
45,Prácticas Electivas,,,Narrativas multimodales: trayectos y trayectorias del habitar,Joaquín Béjares Henry + Viviana Flores Marín + Elizabeth + Wagemann Farfán.,PRI0001 sección 6,por deﬁnir,@mail.udp.cl,"Esta práctica tiene como objetivo implementar un proceso interdisciplinario para analizar el habitar doméstico desde el diseño, la arquitectura y el periodismo. Busca desarrollar herramientas de investigación que integren tecnologías emergentes, representaciones avanzadas, infografías y producciones audiovisuales para comprender y comunicar las dimensiones culturales, sociales y espaciales del habitar a partir del análisis de las trayectorias habitacionales y de vida. Se investigará el espacio domiciliario desde las narrativas y experiencias humanas a través del periodismo, integrando métodos de levantamiento, investigación de archivos familiares y personales, el registro y análisis espacial desde la arquitectura, y desde las técnicas de diseño enfocadas en la metodología de investigación visual y digital. Se utilizarán herramientas multimodales como registro audiovisual, mapeo, maquetas, infografías estáticas y dinámicas, y plataformas digitales colaborativas para abordar complejamente los espacios cotidianos y domiciliarios. Los/las estudiantes participarán en la investigación y creación de prototipos interdisciplinarios y dossiers que integran elementos narrativos, visuales y espaciales, fortaleciendo competencias en tecnologías digitales, comunicación multimedia y trabajo colaborativo. Este proyecto es una iniciativa conjunta entre tres laboratorios de la universidad: Laboratorio Digital de la Facultad de Comunicación y Letras, el Laboratorio Ciudad y Territorio (LCT), y el Laboratorio de Innovación y Creación (LINC) de la FAAD. Modalidad: Presencial con reuniones semanales. Requisitos: Interés en trabajo interdisciplinario. Conocimientos básicos en herramientas digitales.",p45_00.jpg; p45_01.jpg; p45_02.jpg; p45_03.jpg
46,Prácticas Electivas,,,Agencia Piso 1,Claudio Carvajal,PRI0001 sección 9,ﬂexible,@udp.cl,"Testimonio de Cony (diseño) • Diseñarás campañas reales para organizaciones • Crearás contenido, coordinarás proyectos, analizarás datos y presentarás propuestas profesionales • Vivirás la interdisciplina con al menos 3 miradas distintas • Trabajarás con proyectos reales Trabajamos con apoyo de la Asociación de Emprendedores de Chile y un Club Deportivo, en formato flexible, con reuniones presenciales y seguimiento online, por lo cual el lugar no será un problema. Este semestre, proponemos algunos proyectos, aunque puede haber muchos más. Los que involucran a empresas reales buscan generar soluciones de comunicación estratégica y publicitaria a 3 proyectos reales. A estos proyectos se anexan quehaceres propios de una empresa publicitaria como su autopromoción, implementación de iniciativas asociadas al cliente interno UDP, entre otras. Quienes pueden participar: estudiantes de Periodismo, Diseño, Ingeniería en Control de Gestión, Ingeniería Comercial y Publicidad. Requisitos: Estar en 6° semestre o más, haber aprobado los cursos claves de tu carrera, y tener el máximo compromiso con el desarrollo de proyectos reales. Más información con claudio.carvajal@udp.cl. Fecha límite de postulación: 13 de enero de 2026. Los resultados se entregarán el 20 de enero de 2026. BENEFICIO: la nota de la práctica electiva reemplaza a un optativo de carrera. CUPOS LIMITADOS",p46_00.jpg
48,Cursos de Especialización,,,Visualización de datos,Jenny Abud,DIS8900,LU 10:00 - 12:50,@vis_datosudp,"Curso teórico práctico que tiene como objetivo el aprendizaje de datos como forma de información en el contexto disciplinar, a partir de herramientas gráficas y de conteo. Estudiantes al finalizar el curso podrán realizar proyectos de visualización de datos desde las cifras, comunicando visualmente desde una manera clara y creativa en espacios físicos. El foco del curso estará dado por el levantamiento de datos desde la construcción colectiva y territorial barrial. A partir de dinámicas expositivas, estudios de casos, discusiones temáticas y el desarrollo de ejercicios, estudiantes de este curso deberán ser capaces de conocer y dominar metodologías fundamentales de levantamiento de datos y luego visualización en contextos de diseño en Comunicación visual. Esta asignatura profundiza en el uso de recursos y herramientas como el uso tipográfico, arquitectura de la información y representaciones visuales abstractas. Las unidades de aprendizaje son: Datos cotidianos y su impacto en la sociedad, Levantamiento y visualización de datos y Mapeos colectivos en territorio Barrial. Al finalizar el examen aborda una instalación en el barrio para recopilar datos y luego analizarlos a partir de la entrega de un ensayo. Las dinámicas son individuales y grupales (máximo 2 estudiantes). Este curso está diseñado para ser desarrollado paralelo a Seminario como aporte a su avance, siendo los temas de investigación protagónicos para ser utilizados en el curso.",p48_00.jpg; p48_01.jpg; p48_02.jpg
49,Cursos de Especialización,,,Escenarios futuros y métodos de innovación,Florencia Adriasola,DIS8910,JU 14:30 - 17:20,@escenarios_futuros_innova_udp,"Curso abierto a todas las menciones. Este curso tiene como finalidad que los estudiantes aprendan a levantar escenarios futuros para que puedan identificar en ellos oportunidades emergentes. Además, los estudiantes analizan las posibles implicancias que estos cambios podrían tener para sus habitantes, así como las actitudes que estos podrían adoptar. Bajo estos aprendizajes, los estudiantes reflexionan sobre los cambios que se avecinan y con ello, generan propuestas innovadoras que contribuyan al desarrollo de escenarios deseados. El programa enseña a pensar los cambios y las incertidumbres futuras como oportunidades y no amenazas para la disciplina. Asimismo, potencia el pensamiento sistémico, estratégico y crítico, así como la lectura, planificación y flexibilidad profesional. La metodología utiliza herramientas de revisión cuantitativa y cualitativa para el estudio del futuro, que son aplicadas a ejercicios prácticos y de visualización para la reflexión prospectiva. Al finalizar el curso, el estudiante contará con herramientas para levantar escenarios futuros, lo que le ayudará a pensar en sus transformaciones y visualizaciones para crear propuestas significativas, adquiriendo también habilidades que le permitirán introducirse en áreas que van más allá de la disciplina.",p49_00.jpg
50,Cursos de Especialización,,,Formulación de proyectos,Héctor Novoa,DIS8925,LU 10:00 - 12:50,,"El curso entrega las nociones fundamentales para la correcta elaboración de un proyecto de creación en diseño, artístico, comunitario o educativo. Considerando, diferentes instancias en el ámbito estatal, institucional y privado. A su vez, introduce definiciones y conceptos esenciales para transitar de la idea al proyecto desde los enfoques de la gestión y el financiamiento. Objetivos específicos: - Comprender y aplicar el lenguaje de la gestión con el fin de elaborar correctamente las bases de un proyecto. - Conocer las distintas instancias en el mundo estatal, institucional y privado, que articulan plataformas y convocatorias para financiar diferentes proyectos. - Elaborar un proyecto tipo que aplique lo estudiado, considerando como referente la plataforma del ministerio de las culturas, las artes y patrimonio. - Diseñar un plan de presupuesto acorde a los valores de mercado, considerando los montos, los tipos de formatos de presentación de estos y el correcto cálculo para su posible desarrollo, según el mercado. - Concluir, con un proyecto elaborado, con sus aspectos técnicos y currículo o dossier, según sea el caso. Junto con el desarrollo clases lectivas y actividades prácticas en clases, el curso considera las siguientes estrategias de enseñanza-aprendizaje: - Aprendizaje basado en proyectos (ABP). - Discusión de casos de estudios. - Charlas de invitados. - Discusión de lecturas seleccionadas.",p50_00.jpg; p50_01.jpg
51,Cursos de Especialización,,,Pedagogías y diseño,Víctor Rocha,DIS8940,MA 10AM - 12:50PM,,"En este curso se problematizarán las distintas relaciones existentes entre los discursos y las prácticas pedagógicas con el campo del diseño, de la cultura visual y material de la educación desde una perspectiva situada como reflexiva. A partir de un posicionamientos como los estudios culturales, los feminismos-lo queer y las pedagogías postcríticas, se busca entregar herramientas metodológicas para generar agendas investigativas y propuestas de innovación desde el diseño. Por lo tanto, este curso teórico- práctico se organizará en torno a los siguientes ejes que serán abordados a lo largo del curso de manera modular e interdisciplinario: genealogías de lo pedagógico; gramáticas de lo educativo y la escuela; pedagogías de los cuerpos y las subjetividades.",p51_00.jpg
52,Cursos de Especialización,,,Textil como sistema discursivo,Jimena Villaseca Silva,DIS8946,VI 10:00 - 12:50,,"Asignatura teórica–investigativa orientada a estudiar el diseño textil e indumentaria desde un enfoque crítico y contemporáneo, integrando perspectivas de sostenibilidad, reparación, durabilidad y circularidad. El medio textil se visualiza como un discurso material, capaz de articular dimensiones técnicas, históricas, culturales y medioambientales, y como un soporte que registra decisiones de diseño, procesos productivos, prácticas de uso y posibilidades de transformación. La primera etapa consiste en identificar las problemáticas del medio a nivel productivo, tecnológico y social tanto en lo local como en el entorno global. El proceso continúa con la construcción de un portafolio de investigación textil, que integra reflexión teórica, análisis estructural, estudio de casos, documentación visual y una propuesta final fundamentada que articula criterios de diseño responsable, durabilidad y sostenibilidad. El curso promueve: El análisis y resolución de problemas de diseño textil mediante metodologías investigativas y criterios sustentables. L a observación, documentación y comprensión de materialidades textiles y su relación con contextos culturales y de uso. Planificación y evaluación de procesos proyectuales incorporando parámetros de sostenibilidad, durabilidad y circularidad. Utilización de herramientas de análisis y comunicación disciplinar mediante la construcción de portafolios de investigación y argumentación escrita/visual.",p52_00.jpg; p52_01.jpg
53,Cursos de Especialización,,,Narrativas y sistemas editoriales,Aribel González,DIS8947,LU 14:30 - 17:20,,"Curso teórico–práctico que aborda el desarrollo de proyectos editoriales experimentales desde el concepto, la identidad visual, la línea editorial, la curatoría y la distribución, culminando en una pieza editorial final. A través de revisiones de casos de estudio y referentes se introducirá a los estudiantes a las distintas posibilidades de proyectos editoriales, relevando el rol del diseñador como elemento diferenciador en la toma de decisiones. Se revisarán los actores y factores que participan del proceso editorial, búsqueda de lectores objetivos, manejo de presupuestos, búsqueda de fondos y posibilidades de distribución. Desde un enfoque experimental y visual se abordarán aspectos conceptuales, formales y materiales para el desarrollo de una línea editorial consistente con proyecciones a largo plazo.",p53_00.jpg
54,Cursos de Especialización,,,Interacciones Digitales,Guillermo Montecinos,DIS8948,JU 10:00 - 12:50,,"Este curso se centra en el análisis, descomposición y documentación de proyectos interactivos, con el objetivo de entrenar la capacidad de leer, interpretar y reconstruir obras complejas de interacción digital. A través de una aproximación analítica y exploratoria, se abordan proyectos que cruzan tecnología, diseño y narrativa, aprendiendo a identificar sus lógicas técnicas, sensoriales y conceptuales. Los estudiantes desarrollarán habilidades de pensamiento sistémico, modelado de componentes, visualización funcional y documentación estructurada para desglosar y reinterpretar experiencias interactivas complejas. El curso enfatiza la comprensión profunda antes de la ejecución, generando insumos valiosos para quienes buscan diseñar o replicar sistemas similares en contextos futuros.",p54_00.jpg
55,Cursos de Especialización,,,Introducción al Diseño de Servicios,Dominique Tetzner,DIS8949,JU 10:00 - 12:50,,"El curso aborda los conocimientos y prácticas esenciales para el desarrollo de un proyecto de Diseño de Servicios, campo estratégico del diseño contemporáneo, que amplía y desplaza la mirada desde el producto material hacia el sistema que lo sustenta, junto con los relatos, interacciones y experiencias que en él ocurren. Su propósito es desarrollar servicios que sean coherentes y significativos en todos sus componentes. A través del trabajo de campo, revisión de casos y desarrollo de ejercicios, las y los estudiantes pondrán en práctica diversas metodologías y herramientas para la recopilación, análisis, articulación y visualización de la información, que ayudan a comprender las problemáticas y necesidades, así como también la articulación entre los actores involucrados, previo a la toma de decisiones respecto de la experiencia y el servicio a proyectar. El proyecto a desarrollar a lo largo del curso se situará en un contexto de servicio real, con una secuencia de trabajo desde la detección de problemas y necesidades, el estudio de usuarios, el desarrollo narrativo, las instancias de co-creación, la incorporación de testeos para la validación de prototipos, y la aplicación de un plan de gestión que permita su implementación. PALABRAS CLAVE DEL CURSO: #needfinding #hallazgos #insight #viaje del usuario #co-creación #componentes",p55_00.jpg; p55_01.jpg
56,Cursos de Especialización,,,Diseño y Neurociencia humana,Francisco J. Parada + Ph.D.,DIS8970,MA 14:30 - 17:20,,"En las últimas décadas, la Neurociencia Humana ha mostrado que la cognición no ocurre “solo en el cerebro”. Pensar, sentir, aprender y decidir emergen del acoplamiento dinámico entre cerebro, cuerpo y entorno. En este curso trabajaremos esta mirada contemporánea desde el marco 3E/4E de la cognición: los procesos cognitivos son corporizados (dependen del cuerpo), se sostienen en andamios socio-ambientales (lo natural, construido, social y digital facilita u obstaculiza lo que podemos hacer) y son enactivos (se generan en la acción y la interacción con el mundo). Desde esta perspectiva, el diseño deja de ser solo “forma” o “estética” y se convierte en una herramienta para configurar entornos que modelan experiencia, conducta y bienestar: espacios, objetos, interfaces y servicios pueden ampliar o limitar atención, memoria, regulación emocional, colaboración y aprendizaje. Esto incluye una aproximación neuro-afirmativa a la neurodiversidad, entendiendo que distintas formas de percibir y actuar requieren diseños más accesibles, flexibles e inclusivos. El curso introduce principios básicos del sistema cerebro/cuerpo y los traduce a problemas reales de diseño. Además, exploraremos metodologías contemporáneas como MoBI (Mobile Brain/Body Imaging) e interfaces cerebro-computador (BCI), no solo como tecnologías, sino como dispositivos de investigación-acción, performance y evaluación para prototipar y estudiar cómo las personas se desempeñan en contextos cotidianos.",p56_00.jpg
58,Seminario de Título,,,"Seminario de Título, sección 1: Taller Singular",Héctor Novoa y + Elisa Errázuriz,DIS8VIAT1_2,MI 10:00 - 18:45,,"El Seminario y Taller de Título se plantea como una plataforma de formación avanzada centrada en la noción de ""lo Singular"". Esta categoría define la capacidad del estudiante para generar una propuesta de valor única, resultado de una combinación irreductible entre su visión personal y su competencia técnica. Entendemos este concepto no como una mera distinción estética, sino como la huella irrepetible que cada estudiante construye durante su formación; una síntesis de mirada crítica, criterio y método, situada en un contexto específico y verificable en sus resultados. El propósito del curso es acompañar el desarrollo integral del proyecto de título de todas las menciones, entendiéndolo como el hito de transición entre la academia y el ejercicio profesional. A través de una metodología que fomenta la autonomía y la reflexión crítica, se busca que el estudiante consolide una mirada proyectual propia, capaz de transformar contextos y generar nuevo conocimiento. El taller incentiva el desarrollo de soluciones que posean un alto compromiso formal en términos de exploración creativa contemporánea, viabilidad técnica y económica, aptas para la postulación a fondos concursables, el patentamiento o la inserción en el mercado, posicionando al diseño como una herramienta estratégica de transformación social y cultural. Respecto a resultados de los(as) titulados(as) del taller, un hito relevante es la obtención del 1er lugar del premio Chile-Diseño academia en las últimas 3 versiones.",p58_00.jpg; p58_01.jpg; p58_02.jpg; p58_03.jpg; p58_04.jpg; p58_05.jpg
